year,pmidCount,titleCount,absCount,meshCount,keyCount,errorCount
1995,413336,413336,297362,381556,6569,0
1865,134,134,0,0,0,0
1903,2002,2002,1,1,1,0
1931,4880,4880,221,0,0,0
1869,423,423,0,0,0,0
1844,339,339,0,0,0,0
1892,1449,1449,0,0,0,0
2006,638590,638590,529228,585783,2930,0
1887,1468,1468,0,0,0,0
1894,1214,1214,0,0,0,0
1953,97688,97688,359,96668,96362,0
1961,107497,107497,1541,104457,104361,0
1986,318072,318072,184567,300028,3500,0
1862,191,191,0,0,0,0
1827,46,46,0,0,0,0
1959,98335,98335,999,96155,95284,0
1985,303636,303636,177475,287335,3476,0
1966,161582,161582,5257,156826,94,0
